NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Belcaro,4638,172,4398,33,0,35,0,0,0,3.71,94.83,0.71,0,0.75,0,0,0,2314,2324,184,329,173,38,513,211,263,478,869,777,891,338,298,724,1010,15.61,21.78,49.5,53.8,45.3,4511,725,115,47,137,38,95,68,3786,2356,29,1177,491,20,41,3819,84,204,602,2929,4454,4024,61,35,0,0,0,68,0,0,0,175,63,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2426,2277,149,1803,474,2277,1312,1170,142,64,78,965,828,137,44,17,231,13,0,0,18,73,17,45,253,296,356,179,231,735,126083,165172,89838.25,181975.45,210687.42,73382,97120,59312,,40078,36528,97537,88710,1965,17,572,235,79,86,412,544,208,273,1742,1747,681900,4222,416,237,78,62,0,97,18,0,18,0,0,16,16,0,0,0,0,18,127,21,0,21,0,106,2.7,0
Washington Park,7087,429,6314,29,0,217,0,42,56,4.92,90.8,0.52,0,2.73,0,0.44,0.59,3368,3719,583,331,229,77,914,378,1030,1169,1047,978,1024,322,225,1220,1034,16.37,16.6,41.35,40.6,41.95,6731,1281,244,49,203,120,196,262,5450,3481,17,1637,409,95,70,5516,43,297,769,4407,6504,6070,105,56,0,24,12,47,0,54,63,10,8,0,0,0,0,0,18,0,0,0,7,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3514,3255,259,2426,829,3255,1806,1575,231,118,113,1449,1099,350,156,60,330,57,90,74,41,96,89,269,228,385,367,175,330,767,94470,151422.5,70253.17,146460.16,203882.14,54346.5,77357,48751,,33608,43359.5,67031.5,76125,1950.5,52,277,90,110,459,134,166,190,2036,1268,1407,539400,6737,350,155,17,85,31,22,85,70,0,15,0,0,0,0,0,0,0,0,110,58,14,13,31,52,6.35,3.11
Washington Park West,6999,484,6050,97,25,108,0,0,235,6.85,86.13,1.47,0.43,1.46,0,0,3.67,3640,3359,420,305,76,49,725,177,1457,1796,1191,717,618,182,136,850,567,11.96,8.15,35.9,35.1,36.15,6760,1159,243,53,56,71,270,269,5601,4331,9,1902,968,302,295,5894,190,470,1227,4007,6579,6324,157,37,0,0,0,31,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3565,3461,104,2105,1356,3461,1471,1145,326,102,224,1990,1376,614,163,137,377,109,76,70,106,194,129,192,320,544,285,273,377,418,77925.5,99922,53357.54,104569.74,132082.91,46834.5,52046.5,44740,32227,24738,27820.5,47844,71807.5,1939,22,183,52,80,154,128,227,155,2564,1025,1137.5,416200,6804,195,104,56,28,0,20,60,8,9,43,0,10,0,0,0,0,10,0,21,12,0,0,12,9,8.65,4.4
Speer,11670,1135,9928,160,21,220,0,47,159,9.74,84.94,1.32,0.2,2.03,0,0.37,1.4,5876,5794,331,245,201,34,576,253,3667,2980,1529,1071,938,282,374,811,951,7.25,8.14,33.13,34.97,31.8,11453,1843,144,44,162,64,517,747,9610,7962,236,3707,1566,333,367,10001,294,673,2121,6913,11339,10199,667,35,0,24,13,95,0,16,29,28,0,0,54,0,0,16,24,17,0,0,0,19,35,18,0,0,0,0,14,10,14,0,0,0,0,0,0,12,0,7979,7479,500,1972,5507,7479,1326,966,360,125,235,6153,4663,1490,459,406,300,441,464,525,340,407,430,702,825,602,618,411,300,342,54158.33,96684.67,47323.22,74630.48,121596.62,40345.67,44555.67,38316,16131,31343.5,33717,46387.67,54140.33,1952.33,85,120,282,556,1302,1489,901,409,2835,849.33,904,336166.67,10965,705,245,64,52,28,101,146,29,44,50,23,13,0,0,0,13,0,0,301,280,47,206,27,21,11.63,4.29
Cherry Creek,5988,289,5382,23,0,220,0,0,74,4.83,89.88,0.38,0,3.67,0,0,1.24,2620,3368,240,159,149,30,399,234,668,822,898,955,1211,499,302,578,1402,9.65,23.41,49.4,48.7,50.3,5822,599,104,28,149,39,74,104,5223,3003,84,1357,624,14,67,5111,213,333,727,3838,5748,5034,91,84,0,29,0,0,0,0,0,0,179,0,0,0,0,121,0,0,0,9,13,63,17,18,0,0,0,38,0,0,0,0,0,0,15,37,0,0,0,4301,3942,359,1783,2159,3942,1368,1096,272,155,117,2574,2367,207,355,137,497,124,57,53,88,122,171,297,154,255,379,100,497,931,89840,198750,98876.22,149753.86,251283.63,76191,114015,55059,,41509,45781,86806,92981,1989,99,915,1042,907,438,157,273,109,361,1190,1263,605400,5272,716,300,65,42,27,166,212,39,69,67,37,30,0,0,0,30,0,76,98,38,13,0,25,60,9.7,4.24
Country Club,3089,80,2802,0,51,57,0,0,99,2.59,90.71,0,1.65,1.85,0,0,3.2,1359,1730,198,192,214,101,390,361,207,431,529,456,508,190,17,705,439,22.82,14.21,43.4,45.3,41.4,2991,769,107,10,174,112,116,79,2222,1488,8,616,188,67,57,2221,7,86,209,1919,2891,2706,85,25,0,0,8,0,0,0,7,27,0,0,0,0,0,0,0,10,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,1342,50,1090,252,1342,797,733,64,28,36,545,396,149,10,23,105,30,11,47,15,28,43,124,24,128,156,71,105,527,129706,222917,95342.51,217437.18,280138.77,67326,104154,47094,,26250,31250,73049,104559,1939,0,25,24,13,19,64,65,88,1094,1172,1172,729600,2955,134,36,17,8,11,0,78,68,10,0,0,0,0,0,0,0,0,0,20,20,0,11,9,0,2.5,0
Congress Park,10538,764,8652,548,42,195,7,27,303,7.14,82.25,5.14,0.39,1.97,0.05,0.34,2.71,5037,5501,559,466,220,118,1025,406,2588,2431,1486,1119,996,305,182,1363,801,13.18,7.57,35.27,36.27,34.03,10187,2062,221,96,213,142,469,576,8125,6533,134,3182,1178,218,159,8033,168,358,1483,6024,9979,9165,359,96,0,31,0,72,0,0,5,0,10,0,8,0,0,0,24,12,0,21,77,43,0,0,0,0,0,0,17,0,15,24,0,0,0,0,0,0,0,6007,5769,238,2701,3068,5769,1911,1622,289,94,195,3858,3078,780,424,351,386,216,359,374,183,274,240,302,412,508,544,427,386,497,69023.33,123356,51330.6,95329.94,151249.63,45372,52267.33,42137,10000,17689.67,33632.33,48676.33,70779.67,1945.67,25,360,219,170,532,680,597,303,3121,951.33,1057.33,417200,10084,454,69,34,27,0,8,135,49,54,32,0,92,37,0,0,55,0,9,149,45,0,32,13,104,10.7,2.09
City Park,2864,349,2230,143,5,93,10,13,21,12.19,77.86,4.99,0.17,3.25,0.35,0.45,0.73,1175,1689,169,94,30,19,263,58,680,783,296,244,319,108,113,312,345,10.89,12.05,35,35.9,33.3,2766,439,65,7,30,19,146,106,2327,1854,50,839,346,194,55,2306,61,131,412,1702,2695,2422,143,18,0,0,10,9,0,0,9,0,0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,29,0,27,0,0,0,0,0,0,0,0,1763,1542,221,704,838,1542,547,434,113,10,103,995,735,260,109,140,102,54,53,49,43,31,90,121,166,154,183,94,102,74,60500,101042,42166.45,75256.49,111559.96,40373,56509,33583,,19375,29808,46250,49679,1962,6,635,70,29,26,138,56,96,707,868,903,337200,2730,134,26,9,7,0,10,45,0,0,45,0,0,0,0,0,0,0,8,55,38,0,28,10,17,11,6.22
West Colfax,9277,4849,3351,730,202,88,0,0,57,52.33,36.71,7.4,2.03,0.89,0,0,0.64,4402,4875,969,560,386,197,1529,838,1905,1305,1150,1121,594,546,289,2112,1017,22.15,11.77,32.2,31.7,34.5,8598,2042,192,79,294,396,510,92,6556,3700,98,1585,742,103,257,6052,1733,1567,1481,1271,8308,5156,2621,5,0,0,0,23,7,9,0,0,17,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,30,0,0,106,11,280,0,4058,3773,285,971,2802,3773,1767,943,824,198,626,2006,1513,493,813,225,66,323,252,132,225,184,154,245,197,283,79,62,66,67,25798.5,32318,20171.91,45431.5,58327.22,23223.5,25617.5,19178.5,19067.5,25918,24987,41248,49992.5,1964,109,229,240,231,762,549,842,300,796,665.5,724,226050,7170,2107,141,46,61,0,34,94,0,18,7,69,342,303,0,25,14,0,0,1530,1507,13,1482,12,23,38.25,30.94
West Highland,8818,1379,6941,310,19,67,0,16,86,15.53,78.67,3.68,0.21,0.73,0,0.17,1.02,4540,4278,678,349,152,281,1027,490,1417,2224,1236,976,780,489,179,1460,957,16.75,10.91,35.8,37.95,34.55,8275,1439,143,51,145,288,279,272,6836,4909,168,1943,1128,562,306,7094,400,883,1332,4479,8140,7134,771,25,0,61,0,12,0,0,15,0,0,9,0,0,0,14,0,0,0,0,0,41,35,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,4388,4174,214,2611,1563,4174,1870,1480,390,143,247,2304,1663,641,96,170,382,249,228,213,138,204,93,125,328,637,428,334,382,477,80789,109798.5,52570.04,106184.22,126622.78,47735,56710,41808.5,13857,51146,36367.5,51897,77734.5,1942.5,10,606,52,164,167,83,382,445,2479,958.5,1034.5,348300,8372,446,148,121,9,18,0,60,47,0,7,6,0,0,0,0,0,0,0,238,196,0,166,30,42,8.9,5.89
Sloan Lake,7625,2071,4544,667,6,131,10,0,196,23.73,65.9,6.05,0.16,1.34,0.26,0,2.58,3347,4278,489,378,250,272,867,608,1026,1771,1168,849,672,349,315,1389,921,17.02,11.06,36.45,38.4,34.65,7305,1577,158,95,173,370,254,284,5728,4142,68,1907,944,211,168,5877,583,1001,984,3309,7136,6033,893,55,0,19,0,13,0,5,0,0,0,36,0,0,0,11,0,0,0,0,8,13,0,0,0,0,0,0,0,0,45,0,0,0,0,5,0,0,0,3793,3724,69,2178,1546,3724,1629,1132,497,105,392,2095,1643,452,261,396,240,155,222,101,200,101,131,163,266,329,429,205,240,360,66592.5,98062.5,46721.99,93024.47,124581.01,45978,61697,40371,23359,23620,33660.5,56330.5,77753,1951,18,117,148,177,639,183,667,421,1423,806.5,852,341950,7100,525,93,31,31,0,31,87,18,6,58,0,17,0,0,17,0,0,0,328,291,30,261,0,37,17.3,11.28
Berkeley,8423,2542,5532,65,15,151,0,15,103,29.56,66.38,0.82,0.14,1.41,0,0.25,1.45,4267,4156,512,279,266,210,791,573,1247,1829,1351,1104,914,324,290,1267,973,14.85,11.87,38.6,38.5,40.05,8044,1307,91,105,189,299,270,216,6737,4303,85,1923,1028,373,153,6772,452,1378,1664,3278,7911,6845,913,32,0,0,0,32,0,24,0,0,11,0,0,0,0,0,0,0,0,0,17,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4394,4139,255,2742,1397,4139,1978,1511,467,121,346,2161,1656,505,266,186,261,155,167,230,123,162,207,354,429,420,481,366,261,236,63756.5,87815.5,41790.62,83210.31,102403.89,42767,45613,41455.5,36078,26480.5,40072,59179.5,64916,1939,77,181,24,159,157,181,476,409,2730,764.5,838.5,306300,7897,526,56,9,39,0,8,35,35,0,0,0,62,62,0,0,0,0,32,341,303,0,281,22,38,9.25,2.98
Regis,4364,1232,2692,98,0,289,8,0,45,28.23,61.69,2.25,0,6.62,0.18,0,1.03,2274,2090,179,196,124,112,375,704,757,827,438,511,446,192,114,611,439,14,10.06,34,34,34,4262,1401,30,80,102,143,872,59,2861,2142,120,918,473,186,76,2786,226,698,938,924,4185,3638,296,12,0,21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,155,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,1681,13,1230,451,1681,820,541,279,131,148,861,597,264,64,78,45,100,66,126,68,97,100,108,128,268,242,35,45,58,52132,79375,27536.09,67438.31,84599.39,27093,27179,27031,9643,28068,40000,50323,65742,1950,0,40,31,65,70,216,426,149,697,841,938,232900,4110,254,42,10,32,0,0,122,12,0,110,0,0,0,0,0,0,0,21,69,57,0,15,42,12,17.8,11.95
Lincoln Park,5749,2279,2648,559,13,185,0,0,65,40.11,44.67,10.51,0.2,3.31,0,0,1.19,2883,2866,266,438,293,161,704,507,1583,1076,481,589,442,254,113,1158,516,21.23,9.17,30.35,33.3,28.35,5589,1746,92,53,272,196,657,78,3843,2515,87,972,453,171,109,3827,927,655,1027,1218,5483,3833,1381,7,0,10,0,11,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,39,0,48,10,0,0,0,20,0,0,0,0,0,0,92,0,19,0,2910,2557,353,580,1977,2557,910,415,495,61,434,1647,1047,600,684,174,35,87,94,133,179,102,106,85,169,230,225,39,35,11,27269,27633.5,20139.6,40194.21,46004.27,26025,29103,20322,22026,20415.5,18163,38664.5,63594,1960,46,106,391,699,289,66,75,99,1139,646.5,707.5,216400,4989,760,16,7,0,9,0,164,39,21,42,62,99,29,0,30,0,6,7,474,474,9,430,35,0,35.55,27.22
City Park West,4414,634,2792,779,0,104,0,20,85,13.01,63.54,18.8,0,2.26,0,0.75,1.63,2312,2102,184,71,48,43,255,107,1211,1098,380,588,409,201,165,346,538,8.14,12.02,35.05,36.6,33.55,4277,698,56,19,37,88,264,187,3579,2290,56,862,488,150,109,3653,317,520,863,1953,4230,3861,155,40,0,19,0,25,0,8,0,0,19,0,0,22,0,0,0,0,0,9,10,28,0,0,0,0,0,0,0,26,0,0,0,0,0,0,8,0,0,2754,2470,284,814,1656,2470,574,419,155,63,92,1896,1490,406,544,231,142,76,215,77,84,53,37,205,268,145,100,115,142,69,43843,69504,35916.67,60651.08,98427.84,34341.5,35399.5,33276,25292,19922,23501.5,42883.5,58351,1951.5,8,316,160,234,323,170,153,63,1327,715,745.5,311850,4140,274,119,41,34,8,36,52,10,34,0,8,27,27,0,0,0,0,0,76,62,10,35,17,14,22.75,17.92
Whittier,6539,1499,3046,1781,55,0,0,0,158,22.92,46.58,27.24,0.84,0,0,0,2.42,2918,3621,463,607,390,211,1070,752,1376,1315,953,591,258,126,98,1671,306,25.55,4.68,30.4,30.8,30.1,6240,2092,145,88,315,402,440,232,4148,3168,11,1420,659,233,108,4254,565,654,1203,1832,6076,4526,1278,57,0,0,0,54,0,14,0,57,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,19,0,2195,2142,53,1291,851,2142,1391,800,591,58,533,751,494,257,148,112,90,162,166,65,73,129,61,165,173,308,179,216,90,70,59182,60197,25507.2,73009.38,72505.25,32713,31442,35000,17120,26738,31161,42270,50577,1939,0,88,75,41,148,120,141,28,1554,727,956,307000,5917,622,152,57,38,57,0,0,0,0,0,0,19,19,0,0,0,0,0,451,442,0,430,12,9,23.8,18.48
Capitol Hill,15382,1681,12270,411,109,436,4,31,440,11.24,79.49,2.7,0.71,2.81,0.03,0.18,2.84,8885,6497,218,183,84,114,401,276,5814,3836,1745,1637,1218,343,112,599,984,3.88,6.33,31.5,32.7,30.03,15228,2599,0,41,70,110,1409,813,12629,10806,350,4620,2248,582,504,12881,628,1512,3127,7614,15164,13577,1095,33,19,0,0,91,0,0,0,0,41,0,3,0,0,11,0,16,0,47,4,33,0,58,0,0,34,0,42,15,0,0,0,0,0,13,13,19,0,11491,10558,933,2385,8173,10558,1435,1101,334,213,121,9123,7178,1945,1322,663,305,616,699,764,640,552,544,940,854,1068,474,263,305,207,40067.67,84977,38224.36,53899.77,102543.24,32290,33180,31140.67,19689.5,29359.33,29797,38534.33,47720,1949.67,0,473,224,380,1476,2069,1662,754,4453,758.33,785.67,230733.33,14519,863,175,32,64,15,64,310,161,79,42,28,19,0,0,19,0,0,0,359,282,0,184,98,77,17.2,5.74
North Capitol Hill,5600,457,4380,325,37,176,0,0,225,8.19,78.1,5.72,0.73,3.02,0,0,4.23,3036,2564,111,59,38,7,170,77,2323,1249,529,599,444,120,89,215,391,4.06,6.84,31.2,32.85,29.6,5524,579,35,5,38,7,215,236,4945,3847,83,1732,649,280,122,4527,131,427,1064,2905,5489,4922,258,40,0,0,10,0,0,0,0,0,68,24,0,23,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,46,0,0,0,0,17,3,11,0,4164,3881,283,532,3349,3881,499,359,140,24,116,3382,2637,745,736,215,117,116,99,163,95,200,94,222,338,609,336,167,117,128,48513,63750,44654.23,62924.53,86738.22,44596.5,52367.5,39077.5,,13500,40323,50296.5,68420.5,1986,117,1313,496,259,275,179,81,169,1275,943,974.5,312350,5229,371,82,32,0,11,39,117,53,0,24,40,21,11,0,10,0,0,25,126,81,7,24,50,45,23.05,22.75
Civic Center,1880,119,1550,103,0,39,0,0,69,6.33,82.45,5.48,0,2.07,0,0,3.67,1026,854,0,0,0,0,0,0,552,410,257,354,203,59,45,0,174,0,9.26,39.8,40.1,38.6,1880,222,0,0,0,0,121,101,1658,1177,65,521,190,26,52,1724,58,89,391,1186,1880,1756,22,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,46,0,0,0,1407,1325,82,325,1000,1325,414,365,49,10,39,911,845,66,118,95,67,50,49,46,0,34,47,75,158,148,89,88,67,195,68459,130469,86164.52,121184,169117.15,53250,65577,41800,,,58380,54125,73163,2002,10,889,339,80,31,15,8,0,35,1333,1406,371500,1750,130,45,0,38,0,7,85,9,39,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0
CBD,3553,343,2610,314,0,125,0,0,161,9.65,73.46,8.84,0,3.52,0,0,4.53,1989,1564,20,18,0,0,38,261,1264,640,563,452,233,59,43,38,196,1.07,5.52,31.9,32.7,30.8,3533,932,18,0,0,11,786,117,2601,2427,65,705,313,179,137,2617,131,239,750,1497,3533,3192,167,16,0,0,0,9,0,0,0,0,52,0,10,0,0,0,0,0,0,0,0,26,15,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,3261,2298,963,779,1519,2298,301,275,26,26,0,1997,1643,354,347,190,141,152,0,55,20,16,89,250,148,266,53,181,141,228,53707,187946,62293.86,93869.54,306208.97,46369,52841,40933,12063,21797,46138,76625,78482,1977,237,549,124,633,302,763,94,57,502,996,1034,268200,3431,122,49,17,14,0,18,38,31,0,0,7,20,20,0,0,0,0,0,15,15,0,15,0,0,21.9,0
Union Station,4695,417,3877,64,0,305,0,0,32,8.88,82.58,1.36,0,6.5,0,0,0.68,2542,2153,39,17,28,19,56,47,1122,1124,651,739,643,248,65,103,607,2.19,12.93,40,38.3,43.4,4656,460,0,0,28,19,161,235,4196,2484,151,1042,259,136,0,4145,209,427,703,2806,4656,4210,98,23,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,13,190,34,16,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,3837,3190,647,1134,2056,3190,798,728,70,20,50,2392,1877,515,395,262,306,55,33,15,102,25,28,209,238,463,180,265,306,539,83654,151019,81448.67,118715.27,171217.42,68580,77481,56087,,21161,45878,75766,101786,1998,70,1822,167,486,303,208,148,25,608,1517,1594,472000,4258,437,127,49,9,0,69,295,160,31,104,0,15,15,0,0,0,0,0,0,0,0,0,0,0,16,6.39
Five Points,14321,2755,9205,1920,52,167,14,0,208,18.18,61.18,16.55,0.5,1.27,0.05,0,2.27,7781,6540,778,450,262,210,1228,485,4891,3470,1713,1365,804,281,84,1700,759,13.28,7.34,32.43,33.43,31.37,13841,2587,145,105,193,277,897,632,11254,8404,143,3320,1430,455,634,10894,1148,1129,2858,5759,13543,11394,1640,51,0,41,0,22,0,7,27,98,0,0,18,16,0,0,0,0,0,0,47,7,14,30,0,0,0,0,0,0,0,14,0,0,7,0,0,98,12,7620,6877,743,2033,4844,6877,2005,1262,743,231,512,4872,3116,1756,861,507,429,187,269,305,309,144,249,435,707,853,506,410,429,388,52055.33,68319.33,37851.11,73343.8,93376.89,41097.67,45316,38163.67,25982,27695.33,29962,49655.33,61638,1974.33,329,3709,428,391,188,191,164,72,2148,928.67,997.33,303800,13175,1146,133,5,74,16,38,91,53,0,38,0,97,15,0,9,0,54,22,803,761,15,721,25,42,26.37,23.73
Stapleton,16307,1920,11591,1619,51,553,0,38,535,10.69,71.5,10.18,0.28,3.97,0,0.32,3.06,8377,7930,2101,1609,670,198,3710,997,1399,4961,3211,883,841,179,126,4578,622,27.49,4.52,34.9,34.45,35.1,15006,3756,854,393,584,217,339,236,11250,6172,58,2943,1769,385,117,11300,1024,1477,1726,7073,14206,12615,940,102,0,49,0,36,0,13,14,0,10,13,0,40,0,0,0,0,0,0,0,172,26,22,0,0,21,0,0,0,35,19,0,1,0,57,0,21,0,5428,5196,232,3810,1386,5196,3425,2793,632,269,363,1771,1328,443,122,81,798,199,55,19,138,84,110,171,363,545,631,748,798,1055,116434.5,144603,46196.92,132755.85,154755.46,64984,69166,57810,12086,28923.5,38955,77945.5,80940,2005.5,837,4344,180,39,0,13,0,0,15,1525.5,1611,416050,15225,1082,405,220,40,83,62,276,152,54,45,25,82,21,0,27,7,27,12,307,268,13,255,0,39,4.35,3.57
Montbello,33282,20456,3472,7718,0,521,182,20,913,53.38,8.88,19.6,0,1.24,0.37,0.07,2.18,16377,16905,3427,3782,3603,1480,7209,6262,4852,4768,4096,2858,1816,941,480,12292,2185,37.25,6.39,25.92,26,25.27,31073,11561,658,641,2972,2234,1696,141,19512,12077,201,4294,3674,905,1013,17277,5837,5483,4291,1666,29855,12119,16301,21,33,13,0,52,0,0,3,0,132,0,0,0,0,0,0,0,17,0,9,53,53,24,115,0,0,0,146,0,35,218,24,9,0,18,0,460,0,8666,8336,330,5187,3149,8336,6668,4311,2357,553,1804,1668,1258,410,625,390,118,529,631,612,488,575,597,695,1054,1031,384,146,118,52,44183.17,42217.33,13579.42,51554.88,43335.44,21982,25462.67,17988.67,22111,25805.33,28534.17,34569.83,42714.5,1979.17,16,1069,1508,1600,2940,1259,155,98,21,917.33,1123.33,143783.33,22572,10710,167,16,38,0,113,345,98,22,220,5,537,35,0,0,0,502,82,9579,9579,122,9418,39,0,27.15,20.61
Lowry Field,8202,934,5946,806,14,234,0,31,237,11.39,72.49,9.83,0.17,2.85,0,0.38,2.89,3848,4354,520,818,511,189,1338,853,894,1763,1066,1006,769,196,317,2038,787,24.85,9.6,36.2,37.1,35.8,7897,2542,192,169,456,281,385,448,5355,3931,114,1839,888,141,204,5688,129,490,1024,4045,7682,6344,620,40,0,11,22,9,0,0,0,0,33,9,18,0,0,15,11,0,45,0,0,22,13,25,0,12,0,0,0,31,20,0,0,0,0,205,26,138,13,4233,3854,379,1855,1999,3854,1971,1542,429,149,280,1883,1617,266,258,115,535,133,111,97,157,71,136,127,430,481,248,181,535,524,76029,109803,52511.47,110450.96,144441.15,53887,68061,42319,12386,16544,32014,60504,80132,2002,243,2213,805,207,113,38,187,61,366,1085,1168,454800,7277,925,152,55,9,12,76,196,51,60,61,24,310,138,0,172,0,0,0,267,204,38,133,33,63,12,10.35
